Date,Category,Amount,Description
2024-01-02,Groceries,1560,Supermarket weekly shopping
2024-01-05,Transport,120,Bus pass recharge
2024-01-07,Food,450,Swiggy order
2024-01-10,Shopping,2300,Clothes sale
2024-01-12,Entertainment,799,Netflix subscription
2024-01-13,Health,550,Pharmacy medicines
2024-01-15,Groceries,980,Vegetables and fruits
2024-01-17,Bills,1600,Electricity bill
2024-01-18,Transport,90,Auto fare
2024-01-21,Food,320,Café snacks
2024-01-25,Groceries,1450,Monthly essentials
2024-01-26,Entertainment,400,Movie ticket
2024-02-02,Food,510,Dominos pizza
2024-02-04,Transportation,100,Fuel
2024-02-06,Shopping,3100,Shoes purchase
2024-02-10,Groceries,1300,Monthly essentials
2024-02-11,Health,700,Doctor visit
2024-02-14,Entertainment,899,Spotify premium
2024-02-17,Food,260,Snacks
2024-02-23,Bills,1700,Water bill
2024-02-26,Transport,120,Metro card
2024-03-01,Groceries,1100,Monthly essentials
2024-03-04,Food,650,Restaurant dinner
2024-03-07,Shopping,1999,Accessories
2024-03-09,Health,400,Pharmacy
2024-03-11,Transport,150,Fuel
2024-03-15,Entertainment,999,Prime Video
2024-03-18,Groceries,1600,Supermarket
2024-03-20,Food,350,Tea and snacks
2024-03-23,Bills,1800,Internet bill
2024-03-26,Transport,70,Auto
2024-04-01,Groceries,1500,Monthly essentials
2024-04-03,Food,480,Café
2024-04-05,Health,800,Checkup
2024-04-09,Entertainment,650,YouTube premium
2024-04-12,Shopping,2700,Clothes
2024-04-14,Transport,110,Bus
2024-04-17,Bills,1600,Gas bill
2024-04-19,Groceries,1800,Weekly essentials
2024-04-21,Food,520,Restaurant
2024-04-25,Entertainment,450,Movie
2024-05-01,Groceries,1400,Essentials
2024-05-03,Food,660,Burger meal
2024-05-06,Transport,150,Fuel
2024-05-10,Shopping,3500,Electronics
2024-05-12,Health,600,Medicines
2024-05-15,Food,310,Snacks
2024-05-18,Entertainment,899,Spotify
2024-05-21,Bills,1750,Electricity
2024-05-24,Groceries,1550,Weekly shopping
2024-05-28,Transport,120,Metro
2024-05-30,Food,450,Café
